no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
2,0,2,5,0,0,1,47,2018,5,13,1,0,0,0,140.53,2,0
2,0,2,1,2,0,0,145,2018,8,3,1,0,0,0,166.0,1,1
2,0,2,3,0,0,0,308,2018,11,25,0,0,0,0,52.0,0,0
3,0,0,2,0,0,1,119,2018,10,8,1,0,0,0,151.2,1,0
2,1,1,3,0,0,0,146,2018,5,30,0,0,0,0,95.25,0,1
2,0,2,2,0,0,1,136,2018,4,28,1,0,0,0,102.85,0,1
2,0,0,2,0,0,0,6,2017,10,11,0,0,0,0,100.8,0,0
2,0,0,1,2,0,0,5,2017,8,6,0,1,1,0,94.5,0,1
2,1,1,3,0,0,0,64,2018,3,22,0,0,0,0,71.83,1,0
2,0,2,5,1,0,0,123,2018,8,13,1,0,0,0,89.25,0,0
1,0,0,1,0,1,0,9,2018,7,4,4,1,0,33,0.0,0,0
3,0,2,2,0,1,1,45,2018,3,12,1,0,0,0,124.1,1,0
1,0,1,4,0,0,0,34,2018,9,25,1,0,0,0,129.7,0,1
1,0,0,2,2,0,0,13,2018,4,19,0,0,0,0,73.0,0,0
2,0,0,3,0,0,0,287,2018,9,29,1,0,0,0,100.3,0,1
1,0,1,1,0,0,4,248,2018,10,31,1,0,0,0,106.0,1,1
2,0,1,2,0,0,0,105,2017,11,4,1,0,0,0,72.25,2,0
1,0,0,2,2,0,0,273,2018,7,17,0,0,0,0,95.0,0,0
2,0,2,5,0,0,0,80,2018,3,25,0,0,0,0,59.5,1,0
2,0,2,4,0,0,0,195,2018,8,13,1,0,0,0,90.95,0,1
3,0,2,1,0,0,1,103,2018,10,31,1,0,0,0,123.3,0,1
2,0,0,4,0,0,0,261,2018,10,13,1,0,0,0,90.95,1,0
2,0,2,3,0,0,0,206,2018,7,29,1,0,0,0,90.95,0,1
1,0,0,3,0,0,0,40,2018,6,21,1,0,0,0,94.5,0,0
2,0,4,7,1,0,0,199,2018,8,5,1,0,0,0,97.56,0,1
2,0,1,1,0,0,0,175,2018,8,13,1,0,0,0,105.3,0,1
2,0,0,3,0,0,1,28,2018,6,28,1,0,0,0,152.67,1,1
1,0,1,2,0,0,0,7,2018,11,18,0,0,0,0,112.0,0,0
3,0,0,3,0,0,1,50,2018,3,3,1,0,0,0,123.3,1,0
2,0,1,5,0,0,0,169,2018,8,25,1,0,0,0,89.25,0,0
2,0,0,1,0,0,0,32,2018,11,18,0,0,0,0,68.0,0,1
3,0,0,3,0,0,1,100,2018,7,19,1,0,0,0,141.3,0,0
3,0,0,2,0,0,1,94,2018,10,26,1,0,0,0,110.97,0,1
2,0,0,2,0,0,0,105,2017,8,7,1,0,0,0,76.5,1,0
2,2,2,5,0,0,3,83,2018,4,10,1,0,0,0,159.3,1,0
2,0,2,3,0,0,1,50,2018,11,17,0,0,0,0,60.0,1,0
3,0,0,3,0,0,1,46,2018,6,14,0,0,0,0,122.4,1,0
1,0,1,2,0,0,0,191,2018,6,23,0,0,0,0,95.0,0,0
2,0,0,2,0,0,0,1,2017,9,9,0,0,0,0,91.2,0,0
2,0,1,2,0,0,0,117,2018,5,6,1,0,0,0,105.3,0,0
2,0,2,2,0,0,1,24,2017,12,26,1,0,0,0,61.5,0,0
2,0,0,2,0,0,0,230,2018,9,9,1,0,0,0,137.0,1,1
1,0,0,2,0,0,0,17,2017,9,30,0,0,0,0,95.0,0,0
2,0,1,3,0,0,0,112,2018,12,22,1,0,0,0,88.4,0,1
2,0,1,2,0,0,0,115,2018,7,8,0,0,0,0,72.25,0,0
2,1,0,3,0,0,0,46,2018,12,1,1,0,0,0,111.6,1,0
2,0,1,1,0,0,0,32,2018,7,18,0,0,0,0,105.0,1,0
2,0,0,3,0,0,0,30,2018,1,14,0,0,0,0,38.67,0,0
2,0,2,2,0,0,0,162,2018,4,14,0,0,0,0,115.0,0,1
2,0,2,0,0,0,0,146,2018,4,12,0,0,0,0,95.0,0,1
2,0,1,5,1,0,0,11,2018,1,22,1,0,0,0,62.83,1,0
2,0,1,3,2,0,0,13,2018,2,29,1,0,0,0,107.8,0,1
2,0,0,1,1,0,0,174,2018,9,15,1,0,0,0,115.0,1,1
2,0,2,2,0,0,1,82,2018,12,31,1,0,0,0,122.0,1,1
2,0,2,4,0,0,1,75,2018,9,17,1,0,0,0,114.69,1,0
2,0,2,5,1,0,0,161,2018,6,9,1,0,0,0,95.69,1,0
2,0,2,5,0,0,0,166,2018,7,5,1,0,0,0,99.45,0,1
3,0,2,3,0,0,1,39,2018,3,31,1,0,0,0,114.3,1,0
2,0,1,1,0,0,0,104,2018,4,18,1,0,0,0,72.25,2,1
2,1,1,2,0,0,1,166,2018,6,22,1,0,0,0,110.37,2,1
2,0,0,3,0,0,0,122,2018,6,9,1,0,0,0,116.1,0,1
2,0,2,3,0,0,0,59,2018,11,12,0,0,0,0,75.0,0,0
1,0,1,2,0,0,0,192,2018,6,24,0,0,0,0,95.0,0,0
2,0,1,1,2,0,0,7,2018,3,7,1,0,0,0,215.0,1,1
2,0,0,2,0,1,0,1,2018,8,24,1,0,0,0,207.0,2,0
2,0,1,2,0,0,0,258,2018,10,8,0,0,0,0,110.0,0,1
2,0,2,2,0,0,0,122,2018,5,1,1,0,0,0,99.45,1,0
1,0,2,5,0,0,0,41,2017,12,27,0,0,0,0,70.0,0,0
2,0,1,3,0,0,0,82,2018,11,21,1,0,0,0,75.27,0,1
1,0,1,1,0,0,0,33,2018,3,2,1,0,0,0,62.2,0,0
1,0,1,0,0,0,0,26,2018,10,12,2,1,0,4,98.0,1,0
1,0,0,1,2,0,0,1,2018,11,3,0,0,0,0,89.0,0,0
2,0,2,3,0,0,0,117,2018,7,3,1,0,0,0,116.05,0,1
2,2,2,3,0,0,3,13,2018,4,18,1,0,0,0,191.5,1,0
2,0,0,0,0,0,0,61,2017,10,4,0,0,0,0,91.0,1,0
2,0,1,2,1,0,0,185,2018,12,2,1,0,0,0,79.2,1,1
2,0,0,3,2,0,0,4,2018,5,21,0,0,0,0,112.0,1,0
2,0,1,4,1,0,0,186,2018,8,17,1,0,0,0,89.25,0,1
1,0,1,0,1,0,0,109,2018,10,11,1,0,0,0,108.0,0,1
2,0,1,1,0,0,0,174,2017,10,10,0,0,0,0,70.0,0,0
2,1,1,0,0,0,0,19,2018,2,20,1,0,0,0,130.0,2,0
1,0,0,2,0,0,1,44,2018,11,17,1,0,0,0,109.4,3,0
2,0,0,4,0,0,0,118,2018,4,27,1,0,0,0,90.95,0,0
2,0,0,2,2,0,0,17,2017,10,30,0,0,0,0,82.0,0,0
2,0,0,4,0,0,0,180,2017,10,8,1,0,0,0,89.25,0,1
1,0,1,0,0,0,1,48,2018,4,15,1,0,0,0,127.8,0,1
2,0,2,5,0,0,0,116,2018,3,26,1,0,0,0,104.14,0,0
2,0,2,5,0,0,1,2,2017,11,23,1,0,0,0,77.39,1,0
2,0,0,3,0,0,0,279,2018,10,12,0,0,0,0,110.0,1,1
2,0,0,1,1,0,0,163,2018,7,17,1,0,0,0,94.5,1,0
2,0,0,4,0,0,0,31,2018,9,16,0,0,0,0,75.0,0,0
3,0,2,1,0,0,0,220,2018,10,29,0,0,0,0,105.4,2,1
2,0,0,3,0,0,0,111,2018,8,13,0,0,0,0,72.25,0,0
1,0,0,3,0,0,0,176,2018,9,10,0,0,0,0,116.1,0,1
3,0,0,3,0,1,1,238,2018,10,7,1,0,0,0,159.3,0,1
2,1,2,2,0,0,0,156,2018,7,31,1,0,0,0,121.5,0,1
1,0,1,2,0,0,0,151,2018,8,11,1,0,0,0,76.22,0,0
2,0,2,3,0,0,2,111,2018,4,4,1,0,0,0,73.74,1,0
2,0,0,1,0,0,0,134,2018,8,2,1,0,0,0,105.3,2,0
2,0,1,0,0,1,1,47,2018,9,22,1,0,0,0,115.2,1,0
1,0,1,2,0,0,1,5,2018,2,27,1,0,0,0,108.0,1,0
2,0,0,1,0,0,0,18,2018,6,2,0,0,0,0,140.0,1,0
2,0,2,2,0,0,1,67,2018,4,24,1,0,0,0,99.45,1,0
2,0,1,1,1,0,0,100,2018,4,18,1,0,0,0,72.25,1,0
2,0,2,3,0,0,0,113,2018,9,21,1,0,0,0,129.6,2,0
3,0,0,2,0,0,1,55,2018,3,21,1,0,0,0,123.3,2,0
1,0,3,7,0,0,0,224,2018,10,2,0,0,0,0,60.0,0,1
2,0,2,4,0,0,0,160,2018,4,27,0,0,0,0,90.0,0,0
2,1,0,3,0,0,1,57,2018,9,1,1,0,0,0,123.3,2,0
2,0,0,3,2,0,0,1,2017,9,4,0,1,1,0,108.0,0,0
2,0,0,3,0,0,0,65,2017,10,24,0,0,0,0,72.25,0,0
2,0,1,2,0,0,1,93,2018,4,25,1,0,0,0,105.3,2,0
2,0,1,1,1,0,0,268,2018,10,3,1,0,0,0,95.4,0,1
2,0,2,5,2,0,0,124,2018,5,1,1,0,0,0,124.1,0,1
3,0,2,1,0,0,0,24,2018,1,2,0,0,0,0,122.0,0,0
2,0,0,1,1,0,0,261,2018,11,10,1,0,0,0,67.5,2,1
1,0,0,2,0,0,0,57,2017,11,30,1,0,0,0,63.3,2,0
2,0,0,2,2,0,0,102,2017,10,16,0,0,0,0,101.5,0,1
1,0,0,1,0,0,0,32,2017,11,5,0,0,0,0,73.0,0,0
3,0,2,3,0,0,1,115,2018,10,16,1,0,0,0,151.2,2,0
1,0,0,1,0,0,0,112,2018,10,23,1,0,0,0,120.0,0,0
2,0,2,3,0,0,0,155,2018,8,8,1,0,0,0,90.95,1,0
2,0,1,1,0,0,1,33,2017,10,29,0,0,0,0,77.4,1,0
1,0,2,1,1,0,0,183,2018,10,12,1,0,0,0,98.1,0,1
2,0,0,3,0,0,0,45,2018,11,30,0,0,0,0,75.0,0,0
2,0,0,4,0,0,2,60,2018,12,23,1,0,0,0,77.86,1,0
2,0,1,1,2,0,0,131,2017,8,15,1,0,0,0,94.5,0,1
2,0,0,1,0,0,0,216,2018,8,3,1,0,0,0,96.3,2,0
2,0,0,3,0,0,0,121,2018,6,30,0,0,0,0,140.0,0,1
1,0,0,2,0,0,0,230,2018,9,6,1,0,0,0,111.0,0,1
1,0,0,2,0,0,0,177,2018,6,3,0,0,0,0,100.0,0,1
1,0,2,1,0,0,0,116,2018,3,30,0,0,0,0,61.0,0,1
2,1,0,4,0,0,1,11,2018,4,29,1,0,0,0,150.3,1,0
2,0,2,4,0,0,1,99,2018,4,10,1,0,0,0,93.78,1,1
3,0,1,2,0,0,1,160,2018,8,17,1,0,0,0,137.7,0,1
1,0,1,2,0,0,0,20,2017,9,26,0,0,0,0,77.0,0,0
2,0,1,2,0,0,0,219,2017,9,4,0,0,0,0,76.67,0,0
2,0,0,1,0,0,0,119,2018,8,28,1,0,0,0,112.5,1,1
2,0,0,2,0,0,0,103,2018,6,11,1,0,0,0,126.9,0,1
2,0,0,2,0,0,0,1,2017,9,30,2,0,0,0,185.0,0,0
3,0,2,1,0,0,1,70,2018,7,16,1,0,0,0,137.7,0,1
3,0,2,1,0,0,0,144,2018,7,6,1,0,0,0,96.9,2,0
2,0,1,0,0,0,3,0,2017,12,12,1,1,0,1,0.0,1,0
2,0,0,2,1,0,0,188,2018,8,26,1,0,0,0,89.1,0,1
2,1,0,3,0,0,0,119,2018,6,28,1,0,0,0,112.5,0,1
2,0,1,2,0,0,0,129,2018,6,17,1,0,0,0,126.9,3,0
2,0,1,2,1,0,0,158,2018,3,25,1,0,0,0,70.0,0,1
2,0,2,3,0,0,0,141,2018,8,14,1,0,0,0,114.3,1,0
1,0,0,2,0,0,0,71,2017,9,9,2,0,0,0,90.0,0,0
2,0,0,4,0,0,0,198,2018,10,18,1,0,0,0,90.95,1,0
2,0,0,3,0,0,1,37,2017,11,2,0,0,0,0,60.0,0,0
1,0,0,1,2,0,0,0,2017,11,25,0,0,0,0,92.0,0,0
2,0,1,3,0,0,0,200,2018,8,25,1,0,0,0,90.95,0,1
2,0,2,0,0,0,2,50,2018,6,21,0,0,0,0,93.15,1,0
1,0,1,0,0,0,0,3,2018,6,13,2,1,0,2,67.0,1,0
2,0,1,1,0,0,0,166,2018,6,27,1,0,0,0,96.3,0,1
2,0,2,1,0,0,0,133,2018,8,13,1,0,0,0,105.3,0,0
1,0,0,2,0,0,0,166,2018,11,1,0,0,0,0,110.0,0,1
1,0,1,1,1,0,0,121,2018,12,24,1,0,0,0,79.2,2,1
3,0,0,2,0,0,0,87,2018,12,22,0,0,0,0,92.65,0,1
2,1,0,2,0,0,0,30,2018,11,18,1,0,0,0,113.4,1,0
2,0,2,2,2,0,0,275,2018,4,17,0,0,0,0,110.0,0,1
2,0,2,1,2,0,0,3,2017,10,22,0,0,0,0,107.0,0,0
1,0,0,2,0,0,0,28,2018,3,18,2,0,0,0,129.0,0,1
3,0,1,3,0,0,1,112,2018,8,22,1,0,0,0,150.3,0,1
2,0,0,5,1,0,0,184,2018,8,9,1,0,0,0,89.25,0,1
2,0,0,3,0,0,0,71,2018,7,14,0,0,0,0,72.25,1,0
1,0,2,1,0,0,0,115,2018,2,27,0,0,0,0,76.0,0,0
2,0,0,4,0,0,0,27,2018,4,7,0,0,0,0,66.0,0,0
3,0,2,2,0,0,1,45,2018,4,30,1,0,0,0,117.45,1,0
2,0,2,0,0,0,0,55,2018,4,6,0,0,0,0,80.0,0,0
1,0,2,1,0,0,0,93,2018,7,3,1,0,0,0,68.0,0,1
2,0,0,2,0,0,1,21,2018,10,21,1,0,0,0,170.0,2,0
2,1,1,2,0,0,0,151,2018,8,5,1,0,0,0,123.25,1,1
2,2,0,2,0,0,3,55,2018,2,12,1,0,0,0,139.05,0,1
2,0,2,1,0,0,0,17,2017,12,16,0,0,0,0,38.67,0,0
3,0,0,2,0,0,1,129,2018,8,25,1,0,0,0,137.7,2,0
2,0,0,4,1,1,0,93,2018,4,8,1,0,0,0,96.13,1,0
2,0,0,2,0,0,0,219,2018,6,4,0,0,0,0,73.0,0,0
2,0,1,2,2,0,0,226,2018,10,10,1,0,0,0,102.76,0,1
2,0,0,2,0,0,0,147,2018,8,25,0,0,0,0,72.25,0,0
2,0,0,3,2,0,0,13,2018,3,20,4,0,0,0,0.0,1,0
3,0,0,2,0,0,1,61,2018,6,27,1,0,0,0,159.3,0,1
2,0,0,1,0,0,0,30,2018,11,2,0,0,0,0,140.0,0,0
2,0,1,0,1,0,0,158,2018,8,25,1,0,0,0,89.25,0,1
2,0,0,3,0,0,0,193,2018,10,15,1,0,0,0,65.0,0,1
2,0,2,3,1,0,0,268,2018,10,9,1,0,0,0,95.4,1,1
1,0,0,3,0,0,0,162,2018,10,14,0,0,0,0,115.0,0,1
2,1,1,0,0,0,0,12,2018,7,15,1,0,0,0,130.5,0,1
2,0,1,2,0,0,0,91,2018,5,4,0,0,0,0,80.0,0,1
2,0,2,2,2,0,0,115,2018,3,27,0,0,0,0,76.0,0,1
2,1,0,1,0,0,0,11,2018,8,28,1,0,0,0,130.0,2,0
2,0,0,1,1,0,0,99,2018,6,21,1,0,0,0,116.1,0,1
2,0,2,3,0,0,1,59,2018,9,20,1,0,0,0,120.96,0,0
2,0,0,2,1,0,0,150,2018,7,27,1,0,0,0,94.5,0,0
2,0,1,2,1,0,0,158,2018,7,25,1,0,0,0,94.5,1,1
2,0,1,3,0,0,0,193,2018,6,20,0,0,0,0,120.0,0,1
2,0,2,4,0,0,0,30,2018,1,12,0,0,0,0,60.0,1,0
2,0,0,3,0,0,0,150,2018,6,23,1,0,0,0,90.0,0,0
2,0,0,4,0,0,0,123,2018,5,5,1,0,0,0,99.45,0,1
2,0,2,5,0,0,0,108,2018,9,16,1,0,0,0,121.37,0,1
2,1,0,2,0,0,0,8,2018,2,22,0,0,0,0,129.5,2,0
2,0,2,3,0,0,0,206,2018,7,26,1,0,0,0,90.95,2,0
2,0,0,3,1,0,0,131,2018,8,8,1,0,0,0,103.05,1,1
1,0,2,1,2,0,0,96,2017,7,11,0,0,0,0,94.5,0,1
2,0,2,2,0,0,0,110,2018,4,2,1,0,0,0,93.08,1,1
2,0,0,2,2,0,0,35,2018,10,29,1,0,0,0,160.0,0,1
2,0,1,1,0,0,1,62,2018,4,30,1,0,0,0,140.4,1,0
3,0,0,1,0,0,1,66,2018,5,20,1,0,0,0,159.3,0,1
2,0,2,5,0,0,0,122,2018,7,1,0,0,0,0,82.45,1,0
3,0,1,2,0,0,1,64,2018,4,15,1,0,0,0,105.6,0,0
2,0,1,3,0,0,2,21,2018,1,24,1,0,0,0,79.25,0,1
2,0,2,3,0,0,0,81,2018,10,16,0,0,0,0,80.75,0,0
2,0,1,1,0,0,0,8,2018,11,5,0,0,0,0,130.0,0,0
2,0,0,3,0,0,0,273,2017,7,17,0,0,0,0,87.0,1,0
1,0,0,1,0,0,0,5,2018,9,22,2,1,0,3,65.0,0,0
2,0,2,3,0,0,0,141,2018,7,3,0,0,0,0,72.25,0,0
2,0,2,2,0,0,1,141,2018,6,17,1,0,0,0,105.3,0,0
2,0,0,1,1,0,0,154,2018,10,29,1,0,0,0,80.1,2,0
1,0,2,4,1,0,0,45,2018,2,19,1,0,0,0,67.5,0,1
2,0,0,2,0,0,0,1,2017,6,8,0,0,0,0,120.0,0,0
2,0,0,4,0,1,0,62,2017,8,30,1,0,0,0,120.6,1,0
3,0,0,3,0,0,1,36,2018,8,16,1,0,0,0,168.3,0,1
3,0,0,1,0,0,1,203,2018,8,27,1,0,0,0,137.7,0,1
2,0,1,2,0,0,0,57,2018,6,14,0,0,0,0,90.67,1,0
2,0,2,5,1,0,0,115,2018,7,23,1,0,0,0,89.25,3,0
2,0,1,4,0,0,1,71,2018,5,27,1,0,0,0,102.1,1,0
2,0,2,2,1,0,0,240,2018,9,30,1,0,0,0,80.75,0,1
2,0,2,6,0,0,1,156,2018,11,16,1,0,0,0,106.89,0,1
2,0,2,3,0,0,0,305,2018,11,4,1,0,0,0,89.0,0,1
2,2,0,3,0,0,3,88,2018,4,27,1,0,0,0,180.3,2,0
3,0,1,1,0,0,1,45,2018,3,28,1,0,0,0,123.3,0,1
3,0,0,2,0,0,1,93,2018,6,3,1,0,0,0,159.3,1,0
2,0,1,3,0,0,0,127,2018,8,2,1,0,0,0,114.3,1,1
1,2,0,1,0,0,5,6,2018,9,25,1,0,0,0,211.41,1,0
2,0,2,1,2,0,0,122,2018,3,27,1,0,0,0,107.0,0,1
2,0,0,1,0,0,1,5,2018,6,27,1,0,0,0,166.0,0,1
2,0,0,1,0,0,1,22,2018,9,26,0,0,0,0,107.0,0,0
2,1,0,4,0,0,0,8,2017,8,23,1,0,0,0,90.0,2,0
3,0,0,3,0,0,1,29,2018,4,6,1,0,0,0,143.18,1,0
2,0,4,5,0,0,1,207,2018,8,24,1,0,0,0,123.25,1,1
1,0,2,1,2,0,0,3,2018,3,23,0,0,0,0,128.0,0,0
2,0,2,2,1,0,0,98,2018,5,23,1,0,0,0,109.65,0,0
2,0,2,3,0,0,0,83,2018,12,1,0,0,0,0,75.0,0,0
3,0,2,1,0,0,1,50,2018,7,10,1,0,0,0,142.2,0,0
2,1,2,5,0,0,0,190,2018,6,28,1,0,0,0,95.13,1,0
2,2,1,0,0,0,3,118,2018,8,28,1,0,0,0,186.3,0,1
2,2,0,1,0,0,3,140,2018,7,8,1,0,0,0,195.3,0,0
2,0,2,4,0,0,0,150,2018,9,24,1,0,0,0,129.6,2,0
2,1,0,3,0,0,0,58,2018,4,28,1,0,0,0,120.0,2,0
2,0,2,3,0,0,1,133,2018,8,14,1,0,0,0,123.3,0,0
2,2,1,4,0,1,4,7,2018,6,27,1,0,0,0,138.25,1,0
2,0,2,5,0,0,0,115,2017,8,12,1,0,0,0,76.5,1,1
2,0,0,3,0,0,1,87,2018,7,26,1,0,0,0,118.8,1,1
1,0,0,1,0,0,0,5,2018,9,28,2,1,0,2,95.0,1,0
3,0,2,1,0,0,1,65,2018,12,18,1,0,0,0,126.0,0,1
2,0,2,3,0,0,0,115,2018,12,18,1,0,0,0,88.4,0,0
2,0,1,3,0,0,0,127,2018,6,29,0,0,0,0,84.15,0,0
2,0,2,5,0,0,0,97,2018,5,29,0,0,0,0,80.75,0,0
2,0,0,3,2,0,0,93,2018,6,15,1,0,0,0,157.25,1,1
2,2,1,2,0,0,3,21,2018,3,12,1,0,0,0,171.0,0,0
2,0,2,3,0,0,0,111,2018,5,9,1,0,0,0,93.75,1,0
2,0,1,0,0,0,0,258,2018,10,10,0,0,0,0,110.0,0,1
2,0,0,2,0,0,3,0,2018,10,7,1,0,0,0,146.92,1,0
2,0,0,2,0,0,0,100,2018,5,30,0,0,0,0,140.0,0,0
2,0,1,2,1,0,0,121,2018,9,16,1,0,0,0,118.8,0,1
2,0,1,3,0,0,0,215,2018,5,29,1,0,0,0,106.25,2,0
2,0,2,5,0,0,0,156,2018,8,29,1,0,0,0,109.81,1,1
3,0,2,2,0,0,1,63,2018,7,4,1,0,0,0,142.2,0,1
2,0,2,2,2,0,0,150,2018,1,1,0,0,0,0,101.0,0,0
1,0,2,2,0,0,0,115,2018,11,26,1,0,0,0,64.75,0,0
2,0,2,2,0,0,1,119,2018,8,17,1,0,0,0,118.8,1,1
2,0,0,2,2,0,0,291,2018,7,19,1,0,0,0,115.0,0,1
1,0,1,1,0,0,0,104,2018,4,9,1,0,0,0,76.5,1,0
2,0,1,1,0,0,0,121,2018,5,23,1,0,0,0,105.3,0,1
1,9,0,1,0,0,0,11,2017,10,23,1,0,0,0,95.0,2,0
1,0,0,2,0,0,0,4,2018,11,30,2,1,1,6,80.0,1,0
3,0,0,4,0,0,1,166,2018,7,25,1,0,0,0,130.05,0,1
1,0,2,1,0,0,0,228,2018,10,30,1,0,0,0,93.3,0,1
2,0,1,1,0,0,2,46,2018,1,4,0,0,0,0,112.0,0,0
2,0,2,0,0,0,0,117,2018,7,11,1,0,0,0,114.3,0,1
2,0,1,2,0,0,0,117,2018,2,29,1,0,0,0,82.45,1,0
2,0,1,3,0,0,0,100,2017,7,1,1,0,0,0,55.96,0,0
2,0,1,4,0,0,0,275,2018,10,28,1,0,0,0,90.95,2,0
3,0,2,0,0,0,1,34,2018,3,24,1,0,0,0,150.3,0,1
3,0,1,0,2,0,1,20,2018,2,12,1,0,0,0,187.0,1,0
2,1,0,2,0,0,0,44,2018,11,18,1,0,0,0,113.7,2,0
2,0,2,2,0,0,0,189,2018,7,15,1,0,0,0,90.95,1,0
2,0,1,2,0,0,0,163,2018,9,21,1,0,0,0,126.9,2,1
2,0,1,2,0,0,0,94,2017,12,3,1,0,0,0,72.25,1,0
2,0,2,5,0,0,0,77,2018,3,29,1,0,0,0,85.0,0,1
2,0,2,2,0,0,0,182,2018,8,30,1,0,0,0,90.95,1,0
2,1,0,4,2,0,0,81,2018,10,7,1,0,0,0,152.55,2,0
2,0,0,3,0,0,0,157,2018,8,8,1,0,0,0,117.9,0,1
1,0,0,1,0,0,0,10,2018,11,3,0,0,0,0,110.0,0,1
1,0,0,2,0,0,1,86,2018,10,28,1,0,0,0,104.4,1,0
3,0,1,2,0,0,1,5,2018,7,18,1,0,0,0,187.0,1,0
3,0,0,3,0,0,1,36,2018,11,4,1,0,0,0,124.67,0,0
1,0,2,1,0,0,2,9,2018,1,17,1,0,0,0,86.25,0,0
2,0,2,1,1,0,0,174,2018,4,10,1,0,0,0,70.0,0,0
1,0,0,2,0,0,0,64,2018,12,17,4,0,0,0,0.0,0,0
1,0,0,1,0,0,0,40,2018,7,7,1,0,0,0,94.5,0,1
2,1,4,10,0,0,0,1,2018,5,1,1,0,0,0,170.0,0,1
2,0,0,1,2,0,0,102,2017,10,16,0,0,0,0,109.0,0,0
2,1,2,3,0,0,1,61,2017,7,9,0,0,0,0,75.0,1,0
2,0,1,2,0,0,1,120,2018,7,31,1,0,0,0,118.8,0,1
2,1,2,2,0,0,0,75,2018,8,22,1,0,0,0,108.45,0,0
2,0,0,2,0,0,1,80,2018,5,17,1,0,0,0,140.4,1,0
3,0,0,4,0,0,0,125,2018,7,27,0,0,0,0,136.0,1,0
2,1,1,1,2,0,0,144,2018,8,22,1,0,0,0,177.3,2,0
2,2,0,2,0,0,3,0,2017,8,7,1,0,0,0,159.5,1,0
2,0,0,2,0,0,2,29,2018,2,19,1,0,0,0,86.75,0,1
2,0,1,1,0,0,1,12,2018,5,29,1,0,0,0,156.0,0,1
2,1,1,0,0,0,0,86,2018,8,28,1,0,0,0,109.8,1,1
2,0,0,4,0,0,1,56,2018,4,30,1,0,0,0,101.72,1,0
2,0,0,2,0,0,0,19,2017,12,27,0,0,0,0,69.0,0,0
1,0,2,1,0,0,0,69,2018,6,12,1,0,0,0,120.0,1,0
2,0,1,3,0,0,0,141,2018,10,6,0,0,0,0,80.75,0,0
3,0,1,3,0,0,1,168,2018,7,4,1,0,0,0,130.05,2,1
2,0,2,2,0,0,0,177,2018,12,26,1,0,0,0,77.03,1,0
2,0,2,2,1,0,0,125,2018,9,18,1,0,0,0,118.8,2,0
2,0,2,5,0,0,0,265,2018,6,9,1,0,0,0,100.3,1,1
2,1,1,3,0,0,0,56,2018,8,14,1,0,0,0,152.1,2,1
2,0,2,1,0,0,1,23,2017,10,4,0,0,0,0,75.0,0,0
2,0,1,3,0,0,0,123,2018,8,1,1,0,0,0,105.3,1,1
2,0,1,2,0,0,0,80,2018,12,3,0,0,0,0,75.0,0,0
2,0,1,4,0,0,1,26,2018,9,26,1,0,0,0,182.0,0,1
2,0,2,2,1,0,0,128,2018,8,4,1,0,0,0,96.05,1,0
2,0,2,1,0,0,0,27,2018,10,11,0,0,0,0,108.0,0,0
2,2,0,3,1,1,3,2,2017,8,12,1,0,0,0,162.0,2,0
2,0,2,0,1,0,0,111,2018,8,20,1,0,0,0,107.1,1,0
2,0,0,3,0,0,0,193,2018,9,29,1,0,0,0,93.09,1,0
1,0,0,1,0,0,1,0,2018,3,7,4,0,0,0,0.0,2,0
2,0,1,3,0,0,1,166,2018,10,3,1,0,0,0,122.4,1,1
2,1,2,1,0,1,0,8,2018,4,2,1,0,0,0,131.0,2,0
2,0,0,3,0,0,0,50,2018,11,1,0,0,0,0,75.0,0,0
3,0,2,2,0,1,0,14,2017,9,5,0,0,0,0,113.0,1,0
2,0,1,1,2,0,0,21,2018,9,21,1,0,0,0,183.15,3,0
2,0,1,3,0,0,1,82,2018,4,17,1,0,0,0,103.7,2,0
2,0,0,2,0,0,0,169,2018,9,22,1,0,0,0,126.9,0,1
2,0,1,0,2,0,0,315,2018,9,30,0,0,0,0,160.0,1,1
2,0,0,2,0,0,0,102,2017,10,16,0,0,0,0,101.5,0,0
1,0,0,1,0,1,0,4,2018,10,5,2,1,0,3,67.0,0,0
2,0,0,1,0,0,0,113,2018,5,27,2,0,0,0,100.0,0,1
2,0,2,1,0,0,0,1,2018,2,29,0,0,0,0,60.0,0,0
2,0,0,2,0,0,0,314,2018,8,12,0,0,0,0,75.0,0,1
2,1,1,2,0,0,0,68,2018,4,11,1,0,0,0,121.5,0,1
2,2,2,3,0,0,5,39,2018,10,10,1,0,0,0,242.77,1,0
2,0,2,2,0,0,0,60,2018,4,8,0,0,0,0,75.0,0,0
2,0,1,3,0,0,0,183,2018,5,6,1,0,0,0,100.3,0,1
2,0,2,0,0,0,0,2,2018,9,4,1,0,0,0,195.0,1,0
1,0,2,1,0,0,0,23,2017,10,2,0,0,0,0,87.0,0,0
3,0,0,3,0,0,1,59,2018,10,1,1,0,0,0,151.2,2,0
2,0,1,1,0,0,0,112,2018,7,10,1,0,0,0,105.3,2,0
2,0,1,0,0,0,0,35,2017,10,30,0,0,0,0,75.0,0,1
